scene_id,pair_type,pair,frame,position_rel_l2,velocity_rel_l2,position_difference_rms,position_reference_rms,velocity_difference_rms,velocity_reference_rms
hanging,within-condition-repeat,resident-a:resident-b,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
hanging,within-condition-repeat,resident-a:resident-b,30,8.00775453740543e-10,3.177310702159139e-06,3.041686791657381e-09,3.798426609418662,9.124986115342873e-08,0.028719212474694385
hanging,within-condition-repeat,resident-a:resident-b,40,4.63231505333271e-08,7.301320932641521e-05,1.7572474680168164e-07,3.7934541320814703,2.724887174845983e-06,0.03732046844652471
hanging,within-condition-repeat,resident-a:resident-b,50,1.0354116159745248e-07,0.00010042947105608548,3.9214520165392154e-07,3.787336317304458,4.566761116712562e-06,0.04547232071114091
hanging,within-condition-repeat,resident-a:resident-b,60,1.883171232565451e-07,0.00010959438131505667,7.118697467633531e-07,3.780164726675282,5.817030307274251e-06,0.053077815098492416
hanging,within-condition-repeat,resident-a:resident-b,70,4.07481103749889e-07,0.00014484902434516988,1.537032144015179e-06,3.772032935688242,8.700288654241e-06,0.06006453059365132
hanging,within-condition-repeat,resident-a:resident-b,80,8.513123876473099e-07,0.00023177645320542964,3.203541949695998e-06,3.763062767768855,1.5371299147267866e-05,0.0663195028428702
hanging,within-condition-repeat,resident-a:resident-b,90,1.8611211278257982e-06,0.0004049200211870411,6.985558890810091e-06,3.753414426588543,2.9056129787363407e-05,0.07175770094594007
hanging,within-condition-repeat,resident-a:resident-b,100,4.163636991718275e-06,0.0007298180125343548,1.5585541732332754e-05,3.743251816460786,5.576949379484923e-05,0.07641561709498638
hanging,within-condition-repeat,resident-a:resident-b,110,1.0122571048217467e-05,0.0016238203850810727,3.778503298763041e-05,3.7327505835865837,0.0001302353001002327,0.08020302078775199
hanging,within-condition-repeat,resident-a:resident-b,120,2.392916534538059e-05,0.003453231153544313,8.90665695792792e-05,3.7220926135007493,0.00028676257486225754,0.08304181275786632
hanging,within-condition-repeat,resident-a:resident-b,130,6.452026061354206e-05,0.009689187233304202,0.00023946296475720074,3.711438275048446,0.0008223850466308776,0.08487657703673336
hanging,within-condition-repeat,forced-a:forced-b,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
hanging,within-condition-repeat,forced-a:forced-b,30,8.00775453740543e-10,3.177310702159139e-06,3.041686791657381e-09,3.798426609418662,9.124986115342873e-08,0.028719212474694385
hanging,within-condition-repeat,forced-a:forced-b,40,4.63231505333271e-08,7.301320932641521e-05,1.7572474680168164e-07,3.7934541320814703,2.724887174845983e-06,0.03732046844652471
hanging,within-condition-repeat,forced-a:forced-b,50,1.023221560999859e-07,9.876606027349836e-05,3.8752841786237256e-07,3.787336317304458,4.491121968132391e-06,0.04547232071114091
hanging,within-condition-repeat,forced-a:forced-b,60,1.948778896844544e-07,0.0001111160453717214,7.36670522437369e-07,3.7801647156082376,5.897793517634237e-06,0.05307778456211332
hanging,within-condition-repeat,forced-a:forced-b,70,3.9519478108979435e-07,0.0001488072007743626,1.4906877140986775e-06,3.7720328947359514,8.938074797794763e-06,0.06006480030054211
hanging,within-condition-repeat,forced-a:forced-b,80,8.01925448400622e-07,0.00021642250930976577,3.0176957774535584e-06,3.7630627428922705,1.4353051046040902e-05,0.06631958520311473
hanging,within-condition-repeat,forced-a:forced-b,90,1.6254465242161399e-06,0.00035358211208894394,6.100974397532541e-06,3.753414404374019,2.5372311365635075e-05,0.07175790431177877
hanging,within-condition-repeat,forced-a:forced-b,100,3.4194307754521887e-06,0.0005958015284869035,1.279979025728624e-05,3.7432517567470227,4.5528801485945885e-05,0.0764160535162955
hanging,within-condition-repeat,forced-a:forced-b,110,7.817977772995142e-06,0.0012261667090381792,2.9182560595173404e-05,3.732750519702909,9.834222131130465e-05,0.08020297777326342
hanging,within-condition-repeat,forced-a:forced-b,120,1.8768136779936302e-05,0.0029887941736619133,6.985674245205684e-05,3.7220925695051292,0.0002481950244324546,0.08304185902783748
hanging,within-condition-repeat,forced-a:forced-b,130,4.111724288224272e-05,0.005428545438563344,0.00015260411527216112,3.7114384276496843,0.0004607546024628196,0.08487625417845954
hanging,across-condition,resident-a:forced-a,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
hanging,across-condition,resident-a:forced-a,30,0.0,0.0,0.0,3.798426609418662,0.0,0.028719212474694385
hanging,across-condition,resident-a:forced-a,40,0.0,0.0,0.0,3.7934541320814703,0.0,0.03732046844652471
hanging,across-condition,resident-a:forced-a,50,0.0,0.0,0.0,3.787336317304458,0.0,0.04547232071114091
hanging,across-condition,resident-a:forced-a,60,4.529306367171551e-08,6.512558123493808e-05,1.7121524165487658e-07,3.780164726675282,3.456723558969891e-06,0.053077815098492416
hanging,across-condition,resident-a:forced-a,70,1.511208800156033e-07,0.00010114811177249403,5.700329366890468e-07,3.772032935688242,6.0754138540490305e-06,0.06006453059365132
hanging,across-condition,resident-a:forced-a,80,3.6233565619817714e-07,0.0001245754653152822,1.3634918172744565e-06,3.763062767768855,8.261782926128735e-06,0.0663195028428702
hanging,across-condition,resident-a:forced-a,90,6.578415798181234e-07,0.0001521549721102301,2.4691520760991433e-06,3.753414426588543,1.0918290986123739e-05,0.07175770094594007
hanging,across-condition,resident-a:forced-a,100,1.3910806718499673e-06,0.0002934542582597421,5.20716525174588e-06,3.743251816460786,2.24244882340697e-05,0.07641561709498638
hanging,across-condition,resident-a:forced-a,110,5.09617710335072e-06,0.00101347396031556,1.9022758056592987e-05,3.7327505835865837,8.128367310703418e-05,0.08020302078775199
hanging,across-condition,resident-a:forced-a,120,2.021686310341718e-05,0.0036589042692393094,7.524903682538493e-05,3.7220926135007493,0.0003038420432251284,0.08304181275786632
hanging,across-condition,resident-a:forced-a,130,7.80663382120681e-05,0.012128248362333673,0.00028973839563314663,3.711438275048446,0.0010294042064462492,0.08487657703673336
hanging,across-condition,resident-a:forced-b,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
hanging,across-condition,resident-a:forced-b,30,8.00775453740543e-10,3.177310702159139e-06,3.041686791657381e-09,3.798426609418662,9.124986115342873e-08,0.028719212474694385
hanging,across-condition,resident-a:forced-b,40,4.63231505333271e-08,7.301320932641521e-05,1.7572474680168164e-07,3.7934541320814703,2.724887174845983e-06,0.03732046844652471
hanging,across-condition,resident-a:forced-b,50,1.023221560999859e-07,9.876606027349836e-05,3.8752841786237256e-07,3.787336317304458,4.491121968132391e-06,0.04547232071114091
hanging,across-condition,resident-a:forced-b,60,1.9297702780092673e-07,0.00011041753344689006,7.294849535516984e-07,3.780164726675282,5.860721423925633e-06,0.053077815098492416
hanging,across-condition,resident-a:forced-b,70,3.896118631448043e-07,0.0001474004365573679,1.4696287799170618e-06,3.772032935688242,8.853538031117585e-06,0.06006453059365132
hanging,across-condition,resident-a:forced-b,80,7.80921684962457e-07,0.0002133186331798603,2.9386573172255407e-06,3.763062767768855,1.4147185699608931e-05,0.0663195028428702
hanging,across-condition,resident-a:forced-b,90,1.6118545363199409e-06,0.00033840548027501047,6.049958070185453e-06,3.753414426588543,2.428319925204142e-05,0.07175770094594007
hanging,across-condition,resident-a:forced-b,100,3.455744206967994e-06,0.0006098782150248264,1.2935720779956783e-05,3.743251816460786,4.6604220153910906e-05,0.07641561709498638
hanging,across-condition,resident-a:forced-b,110,8.94795746100462e-06,0.0015223354389695119,3.340049343447292e-05,3.7327505835865837,0.0001220959008576033,0.08020302078775199
hanging,across-condition,resident-a:forced-b,120,2.727437130914424e-05,0.004780970564390283,0.00010151773598764255,3.7220926135007493,0.0003970204624089683,0.08304181275786632
hanging,across-condition,resident-a:forced-b,130,9.180665485151768e-05,0.013493963596749156,0.00034073473272008484,3.711438275048446,0.0011453214407503554,0.08487657703673336
hanging,across-condition,resident-b:forced-a,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
hanging,across-condition,resident-b:forced-a,30,8.00775453745844e-10,3.177310708830984e-06,3.041686791657381e-09,3.798426609393517,9.124986115342873e-08,0.028719212414388625
hanging,across-condition,resident-b:forced-a,40,4.632315038680926e-08,7.301322830311177e-05,1.7572474680168164e-07,3.7934541440799787,2.724887174845983e-06,0.03732045874664947
hanging,across-condition,resident-b:forced-a,50,1.035411605965881e-07,0.00010042995714473677,3.9214520165392154e-07,3.787336353914151,4.566761116712562e-06,0.04547210062164099
hanging,across-condition,resident-b:forced-a,60,1.907619971377813e-07,0.00010947428019658593,7.211117792738071e-07,3.7801647607671622,5.810649502075805e-06,0.053077759375457535
hanging,across-condition,resident-b:forced-a,70,4.083832813292357e-07,0.000147460704977688,1.5404352400180903e-06,3.77203306414545,8.857077978536492e-06,0.06006398775780057
hanging,across-condition,resident-b:forced-a,80,8.707975376237267e-07,0.00023523685719678065,3.276865979583186e-06,3.7630629830732545,1.5600691376408936e-05,0.06631907755577021
hanging,across-condition,resident-b:forced-a,90,1.8731026395279093e-06,0.00041971550244344896,7.0305307005819225e-06,3.753414549858237,3.0117635203246e-05,0.07175726183071816
hanging,across-condition,resident-b:forced-a,100,4.0921233707115086e-06,0.0007247864525527814,1.531784828709464e-05,3.743251827823383,5.5384785052348145e-05,0.07641531496246452
hanging,across-condition,resident-b:forced-a,110,9.614470570481574e-06,0.0015028597965185667,3.588842078139788e-05,3.732750599037955,0.00012053252979793778,0.08020211205140765
hanging,across-condition,resident-b:forced-a,120,2.0619214351263593e-05,0.0026811956159117356,7.674663330204283e-05,3.722092995135851,0.00022264756826435964,0.08304040441623979
hanging,across-condition,resident-b:forced-a,130,4.277370537125918e-05,0.005888139350745318,0.00015875206480075562,3.7114405549589224,0.0004997453049292668,0.0848732129388224
hanging,across-condition,resident-b:forced-b,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
hanging,across-condition,resident-b:forced-b,30,0.0,0.0,0.0,3.798426609393517,0.0,0.028719212414388625
hanging,across-condition,resident-b:forced-b,40,0.0,0.0,0.0,3.7934541440799787,0.0,0.03732045874664947
hanging,across-condition,resident-b:forced-b,50,3.7170665345347805e-08,6.406543751914319e-05,1.4077781216161264e-07,3.787336353914151,2.913190021239933e-06,0.04547210062164099
hanging,across-condition,resident-b:forced-b,60,1.0211469903638023e-07,9.186118621929379e-05,3.8601038685366905e-07,3.7801647607671622,4.875785938091772e-06,0.053077759375457535
hanging,across-condition,resident-b:forced-b,70,2.3216395741257595e-07,0.00011215669520216476,8.757301236630926e-07,3.77203306414545,6.736578367578194e-06,0.06006398775780057
hanging,across-condition,resident-b:forced-b,80,4.5256184616012295e-07,0.00013335591121847612,1.7030187308364518e-06,3.7630629830732545,8.844041018618524e-06,0.06631907755577021
hanging,across-condition,resident-b:forced-b,90,8.366743741846725e-07,0.0001767386874297256,3.1403857695582845e-06,3.753414549858237,1.2682284269512279e-05,0.07175726183071816
hanging,across-condition,resident-b:forced-b,100,1.7151054227929716e-06,0.0003068205346534188,6.420071508779588e-06,3.743251827823383,2.344578779249276e-05,0.07641531496246452
hanging,across-condition,resident-b:forced-b,110,4.713580023125686e-06,0.0008437523039135866,1.759461865493574e-05,3.732750599037955,6.767071682211083e-05,0.08020211205140765
hanging,across-condition,resident-b:forced-b,120,1.4590233457847984e-05,0.002425811681635124,5.4306205750852714e-05,3.722092995135851,0.00020144038308061941,0.08304040441623979
hanging,across-condition,resident-b:forced-b,130,4.632835935780463e-05,0.007338584818751167,0.00017194495176526682,3.7114405549589224,0.0006228492719914771,0.0848732129388224
moving-sphere,within-condition-repeat,resident-a:resident-b,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
moving-sphere,within-condition-repeat,resident-a:resident-b,30,8.00775453745844e-10,3.177310708830984e-06,3.041686791657381e-09,3.798426609393517,9.124986115342873e-08,0.028719212414388625
moving-sphere,within-condition-repeat,resident-a:resident-b,40,4.634396435661011e-08,7.313083558573422e-05,1.7580370364167744e-07,3.7934541440799787,2.7292763325853993e-06,0.03732045874664947
moving-sphere,within-condition-repeat,resident-a:resident-b,50,1.0420040723680851e-07,9.77191082613005e-05,3.9464199042062397e-07,3.787336353914151,4.443493123514885e-06,0.04547210062164099
moving-sphere,within-condition-repeat,resident-a:resident-b,60,1.953312579205801e-07,0.00011249104653393486,7.383843392603791e-07,3.7801647678970016,5.970754971841298e-06,0.0530776017808681
moving-sphere,within-condition-repeat,resident-a:resident-b,70,4.124707208808793e-07,0.00014821209544138076,1.555853201485075e-06,3.772033074644351,8.902251009149171e-06,0.06006426791712214
moving-sphere,within-condition-repeat,resident-a:resident-b,80,7.75277062620172e-07,0.00020911494391613725,2.9174164152839137e-06,3.7630629821860606,1.3868303307659223e-05,0.06631904467440126
moving-sphere,within-condition-repeat,resident-a:resident-b,90,1.4326382343166623e-06,0.00032236952681990224,5.377285234743946e-06,3.753414578739619,2.3132427089334437e-05,0.07175748687393085
moving-sphere,within-condition-repeat,resident-a:resident-b,100,2.757463527883136e-06,0.00046921294089853296,1.0321880435623406e-05,3.7432518440406577,3.5855185138527476e-05,0.07641559303514847
moving-sphere,within-condition-repeat,resident-a:resident-b,110,6.293969507900426e-06,0.0011688105803111433,2.349381782235714e-05,3.732750499166991,9.374240519496921e-05,0.08020324830565317
moving-sphere,within-condition-repeat,resident-a:resident-b,120,2.276304202986948e-05,0.004841094805707596,8.472614366497328e-05,3.7220923088309696,0.00040201238771286695,0.08304162670784691
moving-sphere,within-condition-repeat,resident-a:resident-b,130,8.021352035377205e-05,0.012727004096651447,0.00029770812569262313,3.7114457061554873,0.0010825511281934912,0.08505938396596549
moving-sphere,within-condition-repeat,forced-a:forced-b,20,0.0,0.0,0.0,3.8021562652247654,0.0,0.019749912749435782
moving-sphere,within-condition-repeat,forced-a:forced-b,30,8.00775453745844e-10,3.177310708830984e-06,3.041686791657381e-09,3.798426609393517,9.124986115342873e-08,0.028719212414388625
moving-sphere,within-condition-repeat,forced-a:forced-b,40,4.9390184991842454e-08,7.322803067207455e-05,1.8735940193418152e-07,3.7934541440799787,2.7329036977955413e-06,0.03732045874664947
moving-sphere,within-condition-repeat,forced-a:forced-b,50,9.232167781921276e-08,8.907477135439698e-05,3.4965324660546977e-07,3.7873363533337407,4.050418637675139e-06,0.04547211939012403
moving-sphere,within-condition-repeat,forced-a:forced-b,60,1.493583345619709e-07,0.0001027853879824681,5.645991131246448e-07,3.780164761347045,5.455603214524698e-06,0.05307761464552966
moving-sphere,within-condition-repeat,forced-a:forced-b,70,2.651306443638515e-07,0.00011912318066876854,1.0000815631369067e-06,3.772033087825361,7.155040007972692e-06,0.06006421225326286
moving-sphere,within-condition-repeat,forced-a:forced-b,80,4.887615837920843e-07,0.00013639479152758964,1.8392405924154646e-06,3.7630629194414436,9.045637512577822e-06,0.06631952299108203
moving-sphere,within-condition-repeat,forced-a:forced-b,90,8.317273340612872e-07,0.00016787280061948673,3.1218173406511592e-06,3.75341438570675,1.2046253256051599e-05,0.07175821938752634
moving-sphere,within-condition-repeat,forced-a:forced-b,100,1.5026513368500718e-06,0.0002648838023192594,5.624801879692214e-06,3.743251506023471,2.0241423847131873e-05,0.076416238629553
moving-sphere,within-condition-repeat,forced-a:forced-b,110,4.198916016565015e-06,0.0008360915815129317,1.567350412594478e-05,3.7327500869538035,6.705763342278404e-05,0.08020369407552377
moving-sphere,within-condition-repeat,forced-a:forced-b,120,1.4096531562095273e-05,0.0026344093980183105,5.246858712999485e-05,3.722091984036678,0.00021876774719663784,0.08304242588915836
