pair_type,pair,matched_checkpoints,checkpoint_sha256_all_equal,position_rel_l2_p95,position_rel_l2_max,velocity_rel_l2_p95,velocity_rel_l2_max,velocity_difference_rms_p95,velocity_reference_rms_p50
atomic-repeat,atomic-a:atomic-b,12,0,6.1009991668630166e-05,6.1009991668630166e-05,0.009649537960004525,0.009649537960004525,0.0008207769905779473,0.06006485343061093
gather-repeat,gather-a:gather-b,12,1,0.0,0.0,0.0,0.0,0.0,0.060064968682141825
